name,link,url,parent_category
Accessories & Supplies,/s?rh=n%3A172282%2Cn%3A281407&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_1,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
Camera & Photo,/s?rh=n%3A172282%2Cn%3A502394&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_2,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
Car & Vehicle Electronics,/s?rh=n%3A172282%2Cn%3A3248684011&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_3,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
Cell Phones & Accessories,/s?rh=n%3A172282%2Cn%3A2811119011&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_4,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
Computers & Accessories,/s?rh=n%3A172282%2Cn%3A541966&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_5,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
Electronic Protection Plans,/s?rh=n%3A172282%2Cn%3A2242348011&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_6,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
"GPS, Finders & Accessories",/s?rh=n%3A172282%2Cn%3A172526&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_7,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
Home Audio,/s?rh=n%3A172282%2Cn%3A667846011&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_8,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
Office Electronics,/s?rh=n%3A172282%2Cn%3A172574&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_9,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
Portable Audio & Video,/s?rh=n%3A172282%2Cn%3A172623&dc&qid=1745391766&rnid=172282&ref=sr_nr_n_10,https://www.amazon.com/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2,Electronics Showcase
