url,parent_category,error
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A172435%2Cn%3A7242007011&dc&qid=1745392458&rnid=172435&ref=sr_nr_n_3,Accessory Bundles,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A172435%2Cn%3A75364150011&dc&qid=1745392458&rnid=172435&ref=sr_nr_n_4,Action Camera Accessories,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A172435%2Cn%3A3345801&dc&qid=1745392458&rnid=172435&ref=sr_nr_n_7,Binocular Accessories,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A172435%2Cn%3A14015081&dc&qid=1745392458&rnid=172435&ref=sr_nr_n_9,Cables & Cords,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A172435%2Cn%3A3346261&dc&qid=1745392458&rnid=172435&ref=sr_nr_n_20,Rain Covers,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A172435%2Cn%3A14015071&dc&qid=1745392458&rnid=172435&ref=sr_nr_n_21,Remote Controls,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A172435%2Cn%3A525464&dc&qid=1745392458&rnid=172435&ref=sr_nr_n_22,Slide Projectors,No LI elements found
https://www.amazon.com/s?rh=n%3A172282%2Cn%3A502394%2Cn%3A172435%2Cn%3A14015021&dc&qid=1745392458&rnid=172435&ref=sr_nr_n_26,Viewfinders,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A21209106011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_2,Adhesive Card Holders,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A21103668011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_5,Camera Privacy Covers,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A18022313011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_8,Finders,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A21209098011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_10,Grips,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A21209103011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_12,Lanyards & Wrist Straps,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A3015433011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_14,MicroSD Cards,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A21209099011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_18,Screen Expanders & Magnifiers,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A2407782011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_19,Signal Boosters,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A18021376011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_20,Single Ear Bluetooth Headsets,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A23690036011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_22,Stands,No LI elements found
https://www.amazon.com/s?rh=n%3A2335752011%2Cn%3A2407755011%2Cn%3A11548954011&dc&qid=1745392460&rnid=2407755011&ref=sr_nr_n_23,Stylus Pens,No LI elements found
